date,pnl,trades,wins,win_rate,cumulative_pnl
2024-09-09,720.0,6,4,0.6666666666666666,-12367.5
2024-09-10,785.0,8,4,0.5,-11582.5
2024-09-11,-762.5,5,2,0.4,-12345.0
2024-09-12,1625.0,10,6,0.6,-10720.0
2024-09-13,30.0,4,2,0.5,-10690.0
2024-09-16,1555.0,4,4,1.0,-9135.0
2024-09-17,-662.5,5,3,0.6,-9797.5
2024-09-18,470.0,6,2,0.3333333333333333,-9327.5
2024-09-19,637.5,10,8,0.8,-8690.0
2024-09-20,-32.5,4,2,0.5,-8722.5
2024-09-23,325.0,5,3,0.6,-8397.5
2024-09-24,-1190.0,3,0,0.0,-9587.5
2024-09-25,-1852.5,8,2,0.25,-11440.0
2024-09-27,-532.5,4,1,0.25,-11972.5
2024-09-30,-995.0,4,1,0.25,-12967.5
2024-10-01,-550.0,5,1,0.2,-13517.5
2024-10-02,295.0,6,4,0.6666666666666666,-13222.5
2024-10-03,442.5,4,2,0.5,-12780.0
2024-10-04,85.0,3,2,0.6666666666666666,-12695.0
2024-10-07,-190.0,3,1,0.3333333333333333,-12885.0
2024-10-08,-457.5,4,1,0.25,-13342.5
2024-10-09,-185.0,7,4,0.5714285714285714,-13527.5
2024-10-10,-462.5,5,2,0.4,-13990.0
2024-10-11,-417.5,6,3,0.5,-14407.5
2024-10-14,-737.5,5,2,0.4,-15145.0
2024-10-15,-552.5,3,0,0.0,-15697.5
2024-10-16,-382.5,4,1,0.25,-16080.0
2024-10-17,-347.5,2,0,0.0,-16427.5
2024-10-22,-1042.5,1,0,0.0,-17470.0
2024-10-24,-440.0,3,1,0.3333333333333333,-17910.0
2024-10-25,2340.0,7,6,0.8571428571428571,-15570.0
2024-10-28,-1062.5,5,3,0.6,-16632.5
2024-10-29,-665.0,3,0,0.0,-17297.5
2024-10-30,-127.5,3,1,0.3333333333333333,-17425.0
2024-10-31,-175.0,5,3,0.6,-17600.0
2024-11-01,-657.5,4,1,0.25,-18257.5
2024-11-04,-502.5,3,1,0.3333333333333333,-18760.0
2024-11-05,-780.0,6,2,0.3333333333333333,-19540.0
2024-11-06,-1260.0,2,0,0.0,-20800.0
2024-11-12,-190.0,3,1,0.3333333333333333,-20990.0
2024-11-13,-707.5,4,1,0.25,-21697.5
2024-11-14,-927.5,3,0,0.0,-22625.0
2024-11-19,182.5,1,1,1.0,-22442.5
2024-11-20,-1175.0,5,2,0.4,-23617.5
2024-11-21,2745.0,6,5,0.8333333333333334,-20872.5
2024-11-22,-567.5,6,2,0.3333333333333333,-21440.0
2024-11-25,-1065.0,3,0,0.0,-22505.0
2024-11-26,35.0,3,1,0.3333333333333333,-22470.0
2024-11-27,490.0,2,1,0.5,-21980.0
2024-11-28,-202.5,3,0,0.0,-22182.5
2024-11-29,-97.5,2,1,0.5,-22280.0
2024-12-02,162.5,5,2,0.4,-22117.5
2024-12-03,222.5,8,5,0.625,-21895.0
2024-12-04,270.0,6,3,0.5,-21625.0
2024-12-05,762.5,10,8,0.8,-20862.5
2024-12-06,225.0,5,3,0.6,-20637.5
2024-12-09,-220.0,4,2,0.5,-20857.5
2024-12-11,-902.5,8,4,0.5,-21760.0
2024-12-12,-355.0,1,0,0.0,-22115.0
2024-12-13,-592.5,6,2,0.3333333333333333,-22707.5
2024-12-16,-1840.0,3,0,0.0,-24547.5
