entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,vol_prob,breakout_prob,predicted_atr,bars_held,exit_reason
2023-08-22 15:40:00+00:00,2023-08-23 09:35:00+00:00,SHORT,1,4408.25,4413.694383998649,-272.2191999324423,2.58,12.5,-287.29919993244226,0.6098354081638296,0.8052737573351749,5.444383998648558,2,sl
2023-08-22 15:45:00+00:00,2023-08-23 09:35:00+00:00,LONG,1,4409.75,4420.5359108194625,539.2955409731258,2.58,12.5,524.2155409731257,0.6556722349467653,0.6759714322708908,5.1657014394838905,1,tp
2023-08-23 09:40:00+00:00,2023-08-23 10:15:00+00:00,LONG,1,4422.25,4419.911158443888,-116.94207780560646,2.58,12.5,-132.02207780560644,0.8541512907155979,0.6530667438566249,2.33884155611245,7,sl
2023-08-23 09:45:00+00:00,2023-08-23 10:15:00+00:00,LONG,1,4422.0,4419.782791550794,-110.86042246029137,2.58,12.5,-125.94042246029137,0.7351457398146144,0.747852366357352,2.2172084492059128,6,sl
2023-08-23 09:55:00+00:00,2023-08-23 10:20:00+00:00,LONG,1,4422.0,4419.743719340473,-112.81403297634824,2.58,12.5,-127.89403297634824,0.5355027636010276,0.6655718609276533,2.25628065952718,5,sl
2023-08-23 10:00:00+00:00,2023-08-23 10:20:00+00:00,LONG,1,4421.75,4419.558866885991,-109.55665570045312,2.58,12.5,-124.63665570045312,0.5606545125413229,0.7361309045782709,2.191133114009059,4,sl
2023-08-23 10:05:00+00:00,2023-08-23 10:20:00+00:00,LONG,1,4421.25,4419.3407059840465,-95.4647007976746,2.58,12.5,-110.5447007976746,0.5662027086272935,0.8331429087648341,1.9092940159538636,3,sl
2023-08-23 10:10:00+00:00,2023-08-23 10:15:00+00:00,LONG,1,4421.5,4419.794586592747,-85.2706703626609,2.58,12.5,-100.35067036266089,0.5650114476142271,0.866999510273461,1.7054134072528109,1,sl
2023-08-23 10:15:00+00:00,2023-08-23 10:25:00+00:00,LONG,1,4420.0,4418.439917507996,-78.00412460019288,2.58,12.5,-93.08412460019288,0.7957562449485863,0.7208400895996653,1.5600824920041598,2,sl
2023-08-23 10:20:00+00:00,2023-08-23 10:25:00+00:00,LONG,1,4419.75,4418.110792121474,-81.96039392628336,2.58,12.5,-97.04039392628336,0.8118192528474449,0.7099304448589345,1.6392078785260624,1,sl
