fold,entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,signal_prob,bet_size,bars_held
45,2024-08-16 17:25:00+00:00,2024-08-16 18:25:00+00:00,LONG,2,5581.75,5579.0,-275.0,10.0,25.0,-310.0,0.5060742213595808,0.7061763501424009,12
45,2024-08-16 17:30:00+00:00,2024-08-16 18:30:00+00:00,LONG,2,5582.0,5580.0,-200.0,10.0,25.0,-235.0,0.5045213413777822,0.6914641124907741,12
45,2024-08-16 17:35:00+00:00,2024-08-16 18:35:00+00:00,LONG,2,5583.25,5579.0,-425.0,10.0,25.0,-460.0,0.511935400795386,0.7075695344532822,12
45,2024-08-16 17:40:00+00:00,2024-08-16 18:40:00+00:00,LONG,2,5584.75,5576.0,-875.0,10.0,25.0,-910.0,0.5047862723956688,0.7469032744971067,12
45,2024-08-20 14:25:00+00:00,2024-08-20 15:25:00+00:00,LONG,1,5626.0,5614.25,-587.5,5.0,12.5,-605.0,0.506134405966595,0.5235861813759157,12
45,2024-08-20 14:35:00+00:00,2024-08-20 15:35:00+00:00,LONG,1,5617.0,5619.25,112.5,5.0,12.5,95.0,0.5216080138363285,0.6588609378424124,12
46,2024-08-22 14:25:00+00:00,2024-08-22 15:25:00+00:00,LONG,2,5643.75,5624.25,-1950.0,10.0,25.0,-1985.0,0.5179422160958297,0.7546494032156474,12
46,2024-08-22 14:35:00+00:00,2024-08-22 15:35:00+00:00,LONG,2,5642.75,5617.75,-2500.0,10.0,25.0,-2535.0,0.5607825113602779,0.8220582398960325,12
46,2024-08-22 17:20:00+00:00,2024-08-22 18:20:00+00:00,LONG,1,5611.5,5599.5,-600.0,5.0,12.5,-617.5,0.5006350488784185,0.30599725406383105,12
46,2024-08-22 17:45:00+00:00,2024-08-22 18:45:00+00:00,LONG,1,5592.75,5600.25,375.0,5.0,12.5,357.5,0.5022313315732215,0.11938216137271063,12
46,2024-08-22 17:50:00+00:00,2024-08-22 18:50:00+00:00,LONG,1,5585.5,5597.0,575.0,5.0,12.5,557.5,0.501855191225295,0.10487901729506874,12
46,2024-08-22 18:05:00+00:00,2024-08-22 19:05:00+00:00,LONG,1,5593.75,5600.0,312.5,5.0,12.5,295.0,0.5386984469136636,0.6567951854162066,12
46,2024-08-22 18:10:00+00:00,2024-08-22 19:10:00+00:00,LONG,2,5596.75,5600.0,325.0,10.0,25.0,290.0,0.5455838100803138,0.7767295565067288,12
46,2024-08-22 18:15:00+00:00,2024-08-22 19:15:00+00:00,LONG,2,5602.75,5598.0,-475.0,10.0,25.0,-510.0,0.5532517462767759,0.7979358180225602,12
46,2024-08-22 18:30:00+00:00,2024-08-22 19:30:00+00:00,LONG,1,5600.5,5589.75,-537.5,5.0,12.5,-555.0,0.5348205637311215,0.6390406276160123,12
46,2024-08-22 18:35:00+00:00,2024-08-22 19:35:00+00:00,LONG,2,5600.25,5590.75,-950.0,10.0,25.0,-985.0,0.5764332697317639,0.7271718197013711,12
46,2024-08-22 18:40:00+00:00,2024-08-22 19:40:00+00:00,LONG,2,5601.5,5588.5,-1300.0,10.0,25.0,-1335.0,0.6032405300961703,0.8022270809868703,12
46,2024-08-22 18:45:00+00:00,2024-08-22 19:45:00+00:00,LONG,2,5600.25,5595.0,-525.0,10.0,25.0,-560.0,0.5926714498841397,0.7276400903288591,12
46,2024-08-22 18:55:00+00:00,2024-08-22 19:55:00+00:00,LONG,1,5592.5,5595.25,137.5,5.0,12.5,120.0,0.5371092379412215,0.18153294257202204,12
46,2024-08-23 14:50:00+00:00,2024-08-23 15:50:00+00:00,LONG,2,5627.5,5635.5,800.0,10.0,25.0,765.0,0.5588251435721951,0.7675374423936105,12
46,2024-08-23 14:55:00+00:00,2024-08-23 15:55:00+00:00,LONG,2,5636.0,5630.5,-550.0,10.0,25.0,-585.0,0.5498931750450812,0.8441975518887795,12
46,2024-08-23 15:00:00+00:00,2024-08-23 16:00:00+00:00,LONG,2,5635.25,5622.75,-1250.0,10.0,25.0,-1285.0,0.5540250582853945,0.8056768552436052,12
46,2024-08-23 15:05:00+00:00,2024-08-23 16:05:00+00:00,LONG,1,5638.0,5624.25,-687.5,5.0,12.5,-705.0,0.5197488537983176,0.21046308638622632,12
47,2024-08-30 13:55:00+00:00,2024-08-30 14:55:00+00:00,LONG,2,5640.75,5623.0,-1775.0,10.0,25.0,-1810.0,0.5930484610005964,0.9206057515241302,12
47,2024-08-30 15:20:00+00:00,2024-08-30 16:20:00+00:00,LONG,2,5616.0,5611.75,-425.0,10.0,25.0,-460.0,0.519538544886895,0.9114164731066278,12
47,2024-08-30 15:25:00+00:00,2024-08-30 16:25:00+00:00,LONG,2,5615.25,5604.25,-1100.0,10.0,25.0,-1135.0,0.5277196640334901,0.8766027954881442,12
47,2024-08-30 15:30:00+00:00,2024-08-30 16:30:00+00:00,LONG,2,5610.25,5598.25,-1200.0,10.0,25.0,-1235.0,0.5549116082558639,0.8757755238228331,12
47,2024-08-30 15:50:00+00:00,2024-08-30 16:50:00+00:00,LONG,2,5616.0,5610.75,-525.0,10.0,25.0,-560.0,0.531300208983438,0.8754640210197194,12
47,2024-08-30 17:50:00+00:00,2024-08-30 18:50:00+00:00,LONG,1,5615.5,5629.5,700.0,5.0,12.5,682.5,0.5395909856819282,0.5605045144566178,12
47,2024-08-30 17:55:00+00:00,2024-08-30 18:55:00+00:00,LONG,2,5611.5,5630.0,1850.0,10.0,25.0,1815.0,0.5685096366769296,0.852374908962635,12
47,2024-08-30 18:05:00+00:00,2024-08-30 19:05:00+00:00,LONG,1,5617.0,5630.25,662.5,5.0,12.5,645.0,0.524694716656219,0.46512390371986106,12
